The Helm Project (HELM),,,,,,
Road No.,Model,Date,,,,
HLGX 6815-6818,C36-7E,Oct-79,,,,
HLGX 6819-6822,C36-7E,12/78; 10/79,,,,
HLGX 6823-6827,C36-7E,"12/78, 10/79",,,,
HLGX 6828,C36-7E,Oct-79,,,,
HLLX 001-006,SD40,--,,,,
HLLX 1120-1129,SW1500,Nov-72,,,,
HLLX 1500,SW1500,Dec-72,,,,
"HLLX 2009, 10 & 13-30",GP38-2,Jan-72,,,,
HLLX 2032-35 & 37-42,GP38-2,1/2/1972,,,,
"HLLX 2044-47, 49 & 50",GP38-2,Feb-72,,,,
HLLX 2052 & 2053,GP38-2,Feb-72,,,,
HLLX 2054-2063,GP38-2,Sep-72,,,,
HLLX 2064-2073,GP38-2,Oct-72,,,,
"HLLX 2337, 38 & 62",GP38-2,Jan-72,,,,
"HLLX 2374, 75 & 77",GP38-2,Feb-72,,,,
HLLX 2384 & 2385,GP38-2,Oct-72,,,,
HLLX 2580 - 2599,GP38-2,9/10/1972,,,,
HLLX 2600-2608,GP38-2,Oct-72,,,,
HLLX 2691 and 2692,MP15DC,Dec-74,,,,
HLLX 2838 & 2861,MP15DC,"3, 2/73",,,,
HLLX 3000 & 3013,SD40,"3, 12/66",,,,
"HLLX 3060, 3065 & 3069",SD40,"7,8,2/67",,,,
HLLX 3072-3074,SD40,2/67; 2/70,,,,
HLLX 3072-3074,SD40,2/67; 2/70,,,,
HLLX 3076 & 3082,SD40,Aug-67,,,,
HLLX 3072-3074,SD40,2/67; 2/70,,,,
"HLLX 3101, 03 10-11",SD40,"--, --, 11/67",,,,
HLLX 3201 & 3203,SW1500,--,,,,
HLMX 5421 & 5422,SD50F,Jul-85,,,,
"HLMX 5442, 5446-7 & 5456",SD50F,Feb-87,,,,
