0,1,2,3,4
"1214(2nd), 1215(2nd) & 1215(3rd) -- -- Ex-Relco 1211(1st), 1214(1st) & 1213(2nd)","-- -- Ex-Relco 1211(1st), 1214(1st) & 1213(2nd)","-- Ex-Relco 1211(1st), 1214(1st) & 1213(2nd)","Ex-Relco 1211(1st), 1214(1st) & 1213(2nd)",
"1216 & 1217 4760, -- 10/49 Ex-EJ&E 417 & Relco 1215(2nd)","4760, -- 10/49 Ex-EJ&E 417 & Relco 1215(2nd)",10/49 Ex-EJ&E 417 & Relco 1215(2nd),Ex-EJ&E 417 & Relco 1215(2nd),
"1218 & 1219 4590, 1551 2/47, 2/42 Ex-T&P 1004 & GTW 7912","4590, 1551 2/47, 2/42 Ex-T&P 1004 & GTW 7912","2/47, 2/42 Ex-T&P 1004 & GTW 7912",Ex-T&P 1004 & GTW 7912,
1220 17362 -- SW9; Republic Steel < nee FEC 224,17362 -- SW9; Republic Steel < nee FEC 224,-- SW9; Republic Steel < nee FEC 224,SW9; Republic Steel < nee FEC 224,
"1231-1234 -4795, 91, 72 & 1405 11,1/48, 8/41 Ex-EJ&E 422, 418, 409 & 407","-4795, 91, 72 & 1405 11,1/48, 8/41 Ex-EJ&E 422, 418, 409 & 407","11,1/48, 8/41 Ex-EJ&E 422, 418, 409 & 407","Ex-EJ&E 422, 418, 409 & 407",
"SW7 (EMD) 1241, 1251 & 1255 --, 10397, 9181 --, 3,4/50 Ex-??, PRR 9378 & ACL 651","1241, 1251 & 1255 --, 10397, 9181 --, 3,4/50 Ex-??, PRR 9378 & ACL 651","--, 10397, 9181 --, 3,4/50 Ex-??, PRR 9378 & ACL 651","--, 3,4/50 Ex-??, PRR 9378 & ACL 651","Ex-??, PRR 9378 & ACL 651"
SW9 (EMD) 1250 & 1252 15586 -- Ex-B&OCT 590 & Relco 1206,1250 & 1252 15586 -- Ex-B&OCT 590 & Relco 1206,15586 -- Ex-B&OCT 590 & Relco 1206,-- Ex-B&OCT 590 & Relco 1206,Ex-B&OCT 590 & Relco 1206
"1253, 1254 & 1256 13137, 13960, 13965  2-3/51 Ex-SCL 142, 144 & 139 < nee ACL 660, 662 & 657","13137, 13960, 13965  2-3/51 Ex-SCL 142, 144 & 139 < nee ACL 660, 662 & 657","2-3/51 Ex-SCL 142, 144 & 139 < nee ACL 660, 662 & 657","Ex-SCL 142, 144 & 139 < nee ACL 660, 662 & 657",
"1257-1259 15524, 07 & 05 11,10,10/51 Ex-C&O 5265, 5248 & 5246","15524, 07 & 05 11,10,10/51 Ex-C&O 5265, 5248 & 5246","11,10,10/51 Ex-C&O 5265, 5248 & 5246","Ex-C&O 5265, 5248 & 5246",
"1261 & 1263 16841, 13970 10/52, 8/51 Ex-TRRA 1216 & Great Lakes Steel 27","16841, 13970 10/52, 8/51 Ex-TRRA 1216 & Great Lakes Steel 27","10/52, 8/51 Ex-TRRA 1216 & Great Lakes Steel 27",Ex-TRRA 1216 & Great Lakes Steel 27,
"SW1200 (EMD) 1260, 1262 & 1264 29440, 21737, 26156 6/64, 5/56, 9/60 Ex-TRRA 1227 and Great Lakes Steel 40 & 45","1260, 1262 & 1264 29440, 21737, 26156 6/64, 5/56, 9/60 Ex-TRRA 1227 and Great Lakes Steel 40 & 45","29440, 21737, 26156 6/64, 5/56, 9/60 Ex-TRRA 1227 and Great Lakes Steel 40 & 45","6/64, 5/56, 9/60 Ex-TRRA 1227 and Great Lakes Steel 40 & 45",Ex-TRRA 1227 and Great Lakes Steel 40 & 45
"1265, 1267-168 -- -- Ex---, --, --","-- -- Ex---, --, --","-- Ex---, --, --","Ex---, --, --",
"1266 & 1270 25913, 23989 7/60, 9/57 Ex-Inland Steel 105 & 95","25913, 23989 7/60, 9/57 Ex-Inland Steel 105 & 95","7/60, 9/57 Ex-Inland Steel 105 & 95",Ex-Inland Steel 105 & 95,
1269 A743 2/56 SW1200RS; ex-Canadian National 1507 < nee CN 1225,A743 2/56 SW1200RS; ex-Canadian National 1507 < nee CN 1225,2/56 SW1200RS; ex-Canadian National 1507 < nee CN 1225,SW1200RS; ex-Canadian National 1507 < nee CN 1225,
"1271-1273 24091, 25353, 25914  3/58 & 7/60 Ex-Island 98, 103 & 106","24091, 25353, 25914  3/58 & 7/60 Ex-Island 98, 103 & 106","3/58 & 7/60 Ex-Island 98, 103 & 106","Ex-Island 98, 103 & 106",
SW1200RS,"1281-1283 A760, 862, 870 5-9/56 Ex-CN 1590, 1235 & 1240","A760, 862, 870 5-9/56 Ex-CN 1590, 1235 & 1240","5-9/56 Ex-CN 1590, 1235 & 1240","Ex-CN 1590, 1235 & 1240"
"1284-1286 A881, 1546, 1043 10/56, 7/58, 1/57 Ex-CN 7026, 1309 & 7033","A881, 1546, 1043 10/56, 7/58, 1/57 Ex-CN 7026, 1309 & 7033","10/56, 7/58, 1/57 Ex-CN 7026, 1309 & 7033","Ex-CN 7026, 1309 & 7033",
"1287-1289 A746, 748, 1035 ?/56, 3/57 Ex-CN 1576, 1578 & 1263","A746, 748, 1035 ?/56, 3/57 Ex-CN 1576, 1578 & 1263","?/56, 3/57 Ex-CN 1576, 1578 & 1263","Ex-CN 1576, 1578 & 1263",
"1290-1292 A1373, 1549, 1556 5/58 & 8/58 Ex-CN 1304, 1312 & 1319","A1373, 1549, 1556 5/58 & 8/58 Ex-CN 1304, 1312 & 1319","5/58 & 8/58 Ex-CN 1304, 1312 & 1319","Ex-CN 1304, 1312 & 1319",
"1293-1295 A1553, 1022, 1368 8/58, 11/56, 1/58 Ex-CN 1316, 1250 & 1299","A1553, 1022, 1368 8/58, 11/56, 1/58 Ex-CN 1316, 1250 & 1299","8/58, 11/56, 1/58 Ex-CN 1316, 1250 & 1299","Ex-CN 1316, 1250 & 1299",
"1296-1298 A1363, 1366, 1027 1,1/58; 11/56 Ex-CN 1294, 1297 & 1255","A1363, 1366, 1027 1,1/58; 11/56 Ex-CN 1294, 1297 & 1255","1,1/58; 11/56 Ex-CN 1294, 1297 & 1255","Ex-CN 1294, 1297 & 1255",
1299(2nd) A1021 11/56 Scrapped; ex-CN 1249,A1021 11/56 Scrapped; ex-CN 1249,11/56 Scrapped; ex-CN 1249,Scrapped; ex-CN 1249,
