,index,Company,Abbr,Road No.,Model,Date,HP
266,75,CIT Rail Resources,CITX,CEFX 3173 & 3175,SD40-2,Oct-78,3000.0
267,76,CIT Rail Resources,CITX,CITX 3177,SD40-2,Dec-73,3000.0
268,77,CIT Rail Resources,CITX,CITX 3182,SD40-2,Nov-78,3000.0
269,78,CIT Rail Resources,CITX,CITX 3184,SD40-2,Nov-78,3000.0
270,79,CIT Rail Resources,CITX,CEFX 3703,GP38-3,Jan-64,
271,80,CIT Rail Resources,CITX,CEFX 3708,GP38-3,,
272,81,CIT Rail Resources,CITX,CEFX 3709,GP38-3,Sep-69,
273,82,CIT Rail Resources,CITX,CEFX 3716,GP38-3,Sep-71,
274,83,CIT Rail Resources,CITX,CEFX 3717,GP38-3,,
275,84,CIT Rail Resources,CITX,CEFX 3720,GP38-3,Nov-69,
276,85,CIT Rail Resources,CITX,CEFX 3721,GP38-3,Oct-69,
277,86,CIT Rail Resources,CITX,CEFX 3800,GP38-2/3/AC,Sep-69,
278,87,CIT Rail Resources,CITX,CBFX 3801,GP38-2/3/AC,Jul-71,
279,88,CIT Rail Resources,CITX,CEFX 3802,GP38-2/3/AC,Sep-62,
280,89,CIT Rail Resources,CITX,CEFX 3803,GP38-2/3/AC,Aug-70,
281,90,CIT Rail Resources,CITX,CEFX 3804,GP38-2/3/AC,Oct-67,
282,91,CIT Rail Resources,CITX,CBFX 3805,GP38-2/3/AC,,
283,92,CIT Rail Resources,CITX,CEFX 3806,GP38-2/3/AC,Sep-71,
284,93,CIT Rail Resources,CITX,CEFX 3807,GP38-2/3/AC,Sep-71,
285,94,CIT Rail Resources,CITX,CEFX 3809,GP38-2/3/AC,Oct-60,
286,95,CIT Rail Resources,CITX,CEFX 3810,GP38-2/3/AC,Oct-60,
287,96,CIT Rail Resources,CITX,CEFX 3811,GP38-2/3/AC,Oct-69,
288,97,CIT Rail Resources,CITX,CEFX 3811,GP38-2/3/AC,Sep-69,
289,98,CIT Rail Resources,CITX,CEFX 3813,GP38-2/3/AC,Oct-72,
290,99,CIT Rail Resources,CITX,CEFX 3814,GP38-2/3/AC,Mar-71,
291,100,CIT Rail Resources,CITX,CEFX 3816,GP38-2/3/AC,Oct-69,
292,101,CIT Rail Resources,CITX,CEFX 3826,GP38-2/3/AC,Jul-70,
293,102,CIT Rail Resources,CITX,CEFX 3864,GP38-2/3/AC,Mar-66,
294,103,CIT Rail Resources,CITX,CEFX 3917,SD40-2,Sep-76,3000.0
295,104,CIT Rail Resources,CITX,CEFX 3962,SD40-2,Apr-80,3000.0
296,105,CIT Rail Resources,CITX,CEFX 6000-6001,SD60,Aug-87,3800.0
297,106,CIT Rail Resources,CITX,"CITX 6003, 6004",SD60,Aug-87,3800.0
298,107,CIT Rail Resources,CITX,CEFX 6005,SD60,Aug-97,3800.0
299,108,CIT Rail Resources,CITX,CITX 6006 & 6007,SD60,Aug-87,3800.0
300,109,CIT Rail Resources,CITX,CEFX 6008 & 6009,SD60,Aug-87,3800.0
301,110,CIT Rail Resources,CITX,CEFX 6010-6020,SD60,Aug-87,3800.0
302,111,CIT Rail Resources,CITX,CEFX 6021-6024,SD60,Jan-90,3800.0
303,112,CIT Rail Resources,CITX,CEFX 6025 & 6026,SD60,Feb-90,3800.0
304,113,CIT Rail Resources,CITX,CEFX 6027 & 32-34,SD60,Jan-90,3800.0
305,114,CIT Rail Resources,CITX,CEFX 6051 & 6053,SD38,Apr-70,2000.0
306,115,CIT Rail Resources,CITX,CEFX 6052 & 6054,SD38,May-70,2000.0
307,116,CIT Rail Resources,CITX,CITX 6103,SD40-2,Sep-66,3000.0
